ref,pin,expected_net
U1,1,+3V3
U1,2,/GPIO0
U1,3,/GPIO1
U1,4,/GPIO2
U1,5,/GPIO3
U1,6,/GPIO4
U1,7,/GPIO5
U1,8,/GPIO6
U1,9,/GPIO7
U1,10,+3V3
U1,11,/GPIO8
U1,12,/GPIO9
U1,13,/GPIO10
U1,14,/GPIO11
U1,15,/GPIO12
U1,16,/GPIO13
U1,17,/GPIO14
U1,18,/GPIO15
U1,19,GND
U1,20,/XIN
U1,21,/XOUT
U1,22,+3V3
U1,23,/DVDD
U1,24,/SWCLK
U1,25,/SWDIO
U1,26,/RUN
U1,27,/GPIO16
U1,28,/GPIO17
U1,29,/GPIO18
U1,30,/GPIO19
U1,31,/GPIO20
U1,32,/GPIO21
U1,33,+3V3
U1,34,/GPIO22
U1,35,/GPIO23
U1,36,/GPIO24
U1,37,/GPIO25
U1,38,/GPIO26
U1,39,/GPIO27
U1,40,/GPIO28
U1,41,/GPIO29
U1,42,+3V3
U1,43,+3V3
U1,44,+3V3
U1,45,/DVDD
U1,46,/USB_DM
U1,47,/USB_DP
U1,48,+3V3
U1,49,+3V3
U1,50,/DVDD
U1,51,/QSPI_SD3
U1,52,/QSPI_SCLK
U1,53,/QSPI_SD0
U1,54,/QSPI_SD2
U1,55,/QSPI_SD1
U1,56,/QSPI_SS
U1,57,GND
U3,1,/QSPI_SS
U3,2,/QSPI_SD1
U3,3,+3V3
U3,4,GND
U3,5,/QSPI_SD0
U3,6,/QSPI_SCLK
U3,7,+3V3
U3,8,+3V3
J1,A1,GND
J1,A4,/VBUS_RAW
J1,A5,/CC1
J1,A6,/USB_DP_RAW
J1,A7,/USB_DM_RAW
J1,A8,NC
J1,A9,/VBUS_RAW
J1,A12,GND
J1,B1,GND
J1,B4,/VBUS_RAW
J1,B5,/CC2
J1,B6,/USB_DP_RAW
J1,B7,/USB_DM_RAW
J1,B8,NC
J1,B9,/VBUS_RAW
J1,B12,GND
J1,SH,GND
SW1,1,/QSPI_SS
SW1,2,GND
SW2,1,/RUN
SW2,2,GND
J2,1,/SWCLK
J2,2,GND
J2,3,/SWDIO
J2,4,+3V3
J2,5,/RUN
J2,6,GND
R1,1,+3V3
R1,2,/RUN
R2,1,+3V3
R2,2,/QSPI_SS
R3,1,/CC1
R3,2,GND
R4,1,/CC2
R4,2,GND
R5,1,/USB_DP_RAW
R5,2,/USB_DP
R6,1,/USB_DM_RAW
R6,2,/USB_DM
C1,1,+3V3
C1,2,GND
C2,1,+3V3
C2,2,GND
C3,1,+3V3
C3,2,GND
C4,1,+3V3
C4,2,GND
C5,1,+3V3
C5,2,GND
C6,1,+3V3
C6,2,GND
C7,1,+3V3
C7,2,GND
C8,1,/XIN
C8,2,GND
C9,1,/XOUT
C9,2,GND
C10,1,+3V3
C10,2,GND
C11,1,/VBUS
C11,2,GND
F1,1,/VBUS_RAW
F1,2,/VBUS
